DATAFLOW,LAST UPDATE,freq,sex,age,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Austria,2010,17.7,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Austria,2011,19.9,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Austria,2012,22.1,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Austria,2013,19.0,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Austria,2014,25.8,b,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Austria,2015,23.0,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Austria,2016,24.6,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Austria,2017,24.4,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Austria,2018,17.7,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Austria,2019,18.8,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Austria,2020,23.2,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Austria,2021,16.1,b,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Austria,2022,16.7,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Austria,2023,18.4,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Austria,2024,17.6,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Belgium,2010,34.6,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Belgium,2011,30.2,b,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Belgium,2012,33.8,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Belgium,2013,41.2,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Belgium,2014,39.6,b,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Belgium,2015,41.9,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Belgium,2016,34.5,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Belgium,2017,33.8,b,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Belgium,2018,28.2,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Belgium,2019,32.1,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Belgium,2020,26.7,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Belgium,2021,28.7,b,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Belgium,2022,27.5,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Belgium,2023,26.0,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Belgium,2024,32.4,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Bulgaria,2010,37.8,b,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Bulgaria,2011,43.0,b,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Bulgaria,2012,42.1,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Bulgaria,2013,46.4,,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Bulgaria,2014,43.7,b,
ESTAT:YTH_EMPL_090(1.0),14/04/25 23:00:00,Annual,Total,From 20 to 24 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Bulgaria,2015,35.5,u,
